"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @RmShazib: Thank you for all your services for Pakistan over the years,you'll be missed and remembered forever 
#MisYou #legends https:/‚Ä¶",FALSE,0,NA,2017-05-13 19:59:39,FALSE,NA,"863483899976048641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MJav3d",41,TRUE,FALSE,NA,NA
"2","RT @hasniali8: End of an ERA Ì†ΩÌ∏¢, The Greatest career of Legendary Players comes to an end, We will #MisYou always, good bye legends....Ì†ΩÌ∏¢Ì†ΩÌ∏≠
@P‚Ä¶",FALSE,0,NA,2017-05-13 19:59:38,FALSE,NA,"863483897987833856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AabidYetoo",21,TRUE,FALSE,NA,NA
"3","RT @Saj_PakPassion: A last embrace in the middle for the 2 Pakistani greats #Cricket #misyou https://t.co/l5dAtrwaDb",FALSE,0,NA,2017-05-13 19:59:38,FALSE,NA,"863483895311990785",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JulienFountain",208,TRUE,FALSE,NA,NA
"4","RT @HammaaadKhan: THIS MONTAGE. #MisYou. Ì†ΩÌ∏¢ https://t.co/o6GJCMl32i",FALSE,0,NA,2017-05-13 19:59:37,FALSE,NA,"863483893424549889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I_MoizShaikh",10,TRUE,FALSE,NA,NA
"5","RT @AsharJawad: This last hug from Younis to Misbah. I will never forget. He called him back to hug him. Farewell, legends. #MisYou https:/‚Ä¶",FALSE,0,NA,2017-05-13 19:59:35,FALSE,NA,"863483885480538112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","syedmohdjunaid",20,TRUE,FALSE,NA,NA
"6","RT @Champion19Fc: #ThankYouYounis #ThankYouMisbah we'll #MisYou #Legend #WIvPAK https://t.co/6IaQA9rtrx",FALSE,0,NA,2017-05-13 19:59:35,FALSE,NA,"863483884935282688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","israkhan252525",1,TRUE,FALSE,NA,NA
"7","RT @TheRealPCB: Guard of honor for @captainmisbahpk #MisYou https://t.co/VTnYkpPHBW",FALSE,0,NA,2017-05-13 19:59:33,FALSE,NA,"863483877691719680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fahim_parekh",187,TRUE,FALSE,NA,NA
"8","RT @uzeekhanjee: I #misyou too Ì†ΩÌ∏¢ https://t.co/ntTDesjfVg",FALSE,0,NA,2017-05-13 19:59:31,FALSE,NA,"863483868317458434",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MalikYousfi",38,TRUE,FALSE,NA,NA
"9","RT @abdulahadjawaid: End of an era! Thank you Younis Khan and Misbah-ul-Haq! #MisYou #Legends https://t.co/H6yYPrJvFz",FALSE,0,NA,2017-05-13 19:59:30,FALSE,NA,"863483864790052870",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shkfiaz1",406,TRUE,FALSE,NA,NA
"10","RT @ArfaSays_: Moment full of emotions that'll never come back now!Ì†ºÌøè Misbah &amp; Younis We'll #MisYou Ì†ΩÌ∏ü‚ù§Ô∏è https://t.co/S0ZyJ2E8LK",FALSE,0,NA,2017-05-13 19:59:30,FALSE,NA,"863483863351398400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Haseeb_H_Cheema",24,TRUE,FALSE,NA,NA
"11","RT @Arslan_Sadiq: Thank You Misbah and #YounisKhan
#Legends of Cricket
Pride of Pakistan
We will #MisYou https://t.co/9mYzCrqGTB",FALSE,0,NA,2017-05-13 19:59:29,FALSE,NA,"863483858079109120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maddieglawion11",831,TRUE,FALSE,NA,NA
"12","RT @za_marah: 3 great cricketers 

3 great captains 

Heartbreaking farewells 

#MisYou 

#PAKvWI https://t.co/U2SDcbvrop",FALSE,0,NA,2017-05-13 19:59:28,FALSE,NA,"863483854220398592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lVlr_JeRry",5,TRUE,FALSE,NA,NA
"13","RT @SyedRezaMehdi: Misbah-ul-Haq walks off to a guard of honour from his team-mates. This is how legend career comes to an end. #MisYou #WI‚Ä¶",FALSE,0,NA,2017-05-13 19:59:27,FALSE,NA,"863483850281934849",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Raheel0194",223,TRUE,FALSE,NA,NA
"14","RT @Arslan_Sadiq: Misbah and Younis
We Say Good Bye
We will #MisYou https://t.co/pSMobKbc9x",FALSE,0,NA,2017-05-13 19:59:27,FALSE,NA,"863483849539559425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GamerDoerr",979,TRUE,FALSE,NA,NA
"15","RT @ZAbbasOfficial: How befitting that Misbah ends his career as the highest scorer for Pakistan in his last series - 271 #MisYou #WIvPak",FALSE,0,NA,2017-05-13 19:59:26,FALSE,NA,"863483848902004739",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NaumanKashmiri1",98,TRUE,FALSE,NA,NA
"16","RT @TheRealPCB: Guard of honor for @captainmisbahpk #MisYou https://t.co/VTnYkpPHBW",FALSE,0,NA,2017-05-13 19:59:26,FALSE,NA,"863483845076803584",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","TaibaAhmed14",187,TRUE,FALSE,NA,NA
"17","RT @TheRealPCB: Guard of honor for Younis Khan #MisYou https://t.co/FJH9MrqvlS",FALSE,0,NA,2017-05-13 19:59:20,FALSE,NA,"863483822670835713",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shkfiaz1",187,TRUE,FALSE,NA,NA
"18","RT @Arslan_Sadiq: Thank You Misbah and #YounisKhan
#Legends of Cricket
Pride of Pakistan
We will #MisYou https://t.co/9mYzCrqGTB",FALSE,0,NA,2017-05-13 19:59:19,FALSE,NA,"863483818937692160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Maryjobradley19",831,TRUE,FALSE,NA,NA
"19","RT @TheRealPCB: Guard of honor for Younis Khan #MisYou https://t.co/FJH9MrqvlS",FALSE,0,NA,2017-05-13 19:59:19,FALSE,NA,"863483815850803201",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fahim_parekh",187,TRUE,FALSE,NA,NA
"20","RT @TheRealPCB: Guard of honor for @captainmisbahpk #MisYou https://t.co/VTnYkpPHBW",FALSE,0,NA,2017-05-13 19:59:17,FALSE,NA,"863483810838716423",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shkfiaz1",187,TRUE,FALSE,NA,NA
"21","RT @Arslan_Sadiq: Thank You Misbah and #YounisKhan
#Legends of Cricket
Pride of Pakistan
We will #MisYou https://t.co/9mYzCrqGTB",FALSE,0,NA,2017-05-13 19:59:17,FALSE,NA,"863483808204570624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JonLava",831,TRUE,FALSE,NA,NA
"22","RT @IamTheFixer555: Thanks #MisbahYounis for ur service for #Pakistan You guys will be missed at every moment. both r legends. #MisYou #You‚Ä¶",FALSE,0,NA,2017-05-13 19:59:16,FALSE,NA,"863483805260185600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HaniaSays",97,TRUE,FALSE,NA,NA
"23","RT @AloveS_10: Goodbyes are one of the hardest things in life!Ì†ΩÌ∏≠

#MisYou #MisbahYounis #Afridi ‚ù§ https://t.co/N5bthKfhYZ",FALSE,0,NA,2017-05-13 19:59:16,FALSE,NA,"863483805243514881",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","israkhan252525",4,TRUE,FALSE,NA,NA
"24","RT @Arslan_Sadiq: Misbah and Younis
We Say Good Bye
We will #MisYou https://t.co/pSMobKbc9x",FALSE,0,NA,2017-05-13 19:59:15,FALSE,NA,"863483798775844864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akram_myrta",979,TRUE,FALSE,NA,NA
"25","#MisYou
Captain Fantastic https://t.co/sETm1uPrdN",FALSE,0,NA,2017-05-13 19:59:14,FALSE,NA,"863483798511656961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jooonaid",0,FALSE,FALSE,NA,NA
"26","@BumbleCricket how do you rate Younis &amp; Misbah ? #misyou",FALSE,0,"BumbleCricket",2017-05-13 19:59:14,FALSE,NA,"863483794577383427","50684862","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Adal786",0,FALSE,FALSE,NA,NA
